A01,White,255,255,255
A44,Burning Sand,255,163,139
A03,Tangerine,246,176,76
A17,Orange,255,103,31
A05,Tall Poppy,225,6,0
A49,Raspberry Pink,236,134,208
A33,Gray,155,155,155
A19,Baby Blue,65,182,230
A99,Lagoon,79,159,179
A100,Electric Blue,49,150,221
A101,Pool Blue,27,108,182
A102,Caribbian Blue,8,57,128
A103,Deep Water,10,102,139
A104,Petrol Blue,8,91,110
A105,Wegdewood Blue,0,78,120
A106,Pond Blue,0,85,116
A107,Seashell Beige,204,190,128
A108,Beige,164,147,80
A21,Dark Blue,0,51,153
A109,Beach Beige,158,136,60
A110,Caffe Latt?,118,108,43
A111,Oaktree Brown,121,95,38
A112,Khaki,186,184,162
A113,Light Greengray,114,140,84
A114,Mossy Green,126,124,68
A115,Earth Green,100,105,46
A116,Sage Green,78,88,44
A117,Pinetree Green,74,94,45
A118,Frosty Blue,113,196,182
A26,Pastel Lavender,160,94,181
A119,Polar Mint,102,204,153
A120,Celadon Green,86,154,131
A121,Eucalyptus,20,194,91
A122,Clover Field,24,168,24
A123,Pooltable Felt,4,85,46
A124,Snake Green,19,107,90
A125,Dark Eucalyptus,5,70,65
A126,Marsmallow Rose,217,182,214
A127,Light Grape,173,98,164
A128,Rosebud Pink,230,140,163
A02,Black,0,0,0
A129,Fuschia,222,84,121
A130,Candy Violet,158,130,186
A131,Flamingo,232,65,107
A132,Pink Plum,183,56,143
A133,Amethyst,88,31,126
A134,Moonlight Blue,140,163,212
A135,Summer Rain,154,154,204
A136,Azur Blue,89,129,193
A137,Cornflower Blue,65,102,176
A138,Forget Me Not,71,95,171
A42,Sandstorm,250,224,83
A139,Indigo,55,69,147
A140,Horizon Blue,61,86,165
A141,Cobolt,41,66,135
A142,Royal Blue,37,38,138
A143,Marine,26,47,111
A144,Pale Yellow Moss,211,201,93
A145,Bloodrose Red,81,9,24
A146,Spearmint,100,179,158
A147,Mocha,99,67,56
A148,Creme,237,211,158
A30,Redwood,122,62,44
A149,Iris Violet,105,99,171
A150,Forrest Green,43,63,31
A151,Lilac,151,145,197
A152,Pale Lilac,184,189,224
A153,Sahara Sand,249,200,152
A154,Sunkissed Teint,195,144,105
A155,Steel Grey,90,90,90
A156,Iron Grey,60,60,60
A157,Pepper,26,26,26
A56,Oslo Gray,139,139,139
A32,Brown,92,71,56
A31,Light Brown,123,77,53
A23,Sand,204,153,102
A22,Bubble Gun,252,191,169
A14,Green,36,158,107
A13,Pastel Green,135,216,57
A27,Purple,51,0,114
A37,True Blue,20,123,209
A08,Hot Pink,255,52,179
A09,Magenta,219,33,82
A11,Yellow,255,209,0
A41,Pastel Yellow,246,235,97
A39,Shadow Green,153,214,234
A60,Sea Mist,158,229,176
A24,Beeswax,255,231,128
A50,Maverick,197,180,227
A06,Red,186,12,47
A36,Old Pink,201,128,158
A04,Yellow Orange,237,139,0
A07,Carnation Pink,241,167,220
A35,Metallic Silver,125,124,121
A34,Dark Gray,118,119,119
A18,Sky Blue,170,220,235
A54,Medium Turquoise,0,178,169
A53,Bright Green,115,211,60
A28,Marigold,180,126,0
A48,Corn,255,199,44
A51,Spring Sun,252,251,205
A10,Picasso,242,240,161
A38,Turquoise,105,179,231
A20,Light Blue,0,144,218
A12,Pistachio,173,220,145
A16,Bright Carrot,255,106,19
A29,Buccaneer,164,73,61
A43,Paprika,165,0,52
A52,Butterfly Bush,74,31,135
A25,Lavender,167,123,202
A40,Key Lomen Pie,206,220,0
A15,Green Tea,0,124,88
A58,Black Rock,5,8,73
A46,Canary,243,234,93
A47,Vanilla,243,207,179
A69,Mine Shaft,40,40,40
A84,Drark Algae,155,188,17
A86,Jade Green,0,133,34
A79,Light Sea Blue,89,213,216
A81,Steel Blue,72,169,197
A82,Azure,0,174,214
A83,Dark Steel Blue,0,133,173
A80,Sea Blue,0,174,199
A87,Ghost While,239,239,239
A88,Ash Grey,209,209,209
A89,Light Gray,187,188,188
A85,Dark Olive,153,155,48
A74,Deer,205,178,119
A75,Clay,181,129,80
A73,Sienna,184,97,37
A77,Deep Chestnut,170,87,97
A78,Red Wine,92,19,27
A71,Goldenrod,234,170,0
A76,Coral Red,255,109,106
A90,Charcoal Gray,77,77,77
A72,Pastel Orange,255,197,110
A70,Brunswick Green,24,48,40
A91,Dandelion,222,185,71
A92,Pale Skin,218,182,152
A93,Warm Blush,244,169,153
A94,Salmon,238,125,103
A95,Apricot,240,134,97
A96,Papaya,212,114,42
A97,Himalaya Blue,100,172,223
A98,Waterfall,100,194,220
